Recommendation code;Recommendations ;Applicable MS or (sub)region;Applicable descriptors;URL Commission report;comments
Art13/2016/PT/Rec15;The Member State should establish measures that fully consider nutrient inputs from atmospheric deposition and that could be linked to IMO (MARPOL) in relation to shipping (NOx emissions).;PT;D5;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/PT/Rec16;The Member State should establish more measures covering agriculture (beyond WFD and MSP).;PT;D5;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/PT/Rec17;"The Member State should establish direct measures to tackle hydrographical changes in all subdivisions from relevant activities; or clearly report which measures reported for other descriptors contribute to addressing pressure, GES and targets for hydrographical changes (D7) and how. ";PT;D7;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/PT/Rec18;The PoM should establish measures to address cumulative impacts.;PT;D7;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/PT/Rec19;The Member State should better address pressures from activities not subject to local/project scale EIAs (e.g. fishing, shipping). In some cases (e.g. hydrological changes where local dimension is important) this gap hampers the assessment of cumulative effects.;PT;D7;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/PT/Rec20;The Member State should establish measures to address accidental pollution due to marine hydrocarbon extraction.;PT;D8/D9;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/PT/Rec21;The Member State should address atmospheric deposition (from sea-based and land-based sources) better.;PT;D8/D9;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/PT/Rec22;The Member State should establish more direct measures for contaminants in seafood (D9).;PT;D8/D9;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/PT/Rec23;The Member State should better explain the way the contaminants (D8) measures contribute to contaminants in seafood (D9) targets.;PT;D8/D9;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/PT/Rec24;The Member State should address marine litter, both in coastal areas and in the open sea, from aquaculture, urban areas, tourism and recreational activities, as well as the removal of existing litter.;PT;D10;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/PT/Rec25;The Member State should address micro-litter better, preferably through direct measures, in addition to indirect measures, in accordance with recommendations of TG Litter.;PT;D10;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/PT/Rec26;The Member State should establish measures that clearly address degradation products and ensure that litter does not present risk for the coastal and marine environment, as included in its GES and targets definitions.;PT;D10;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/PT/Rec27;The Member State should establish additional research efforts to address data gaps, increase knowledge and pave the way for direct action.  ;PT;D10;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/PT/Rec28;The Member State should make efforts to prevent, identify and tackle pollution hot spots (e.g. from plastic pellets, lost fishing gear, single-use plastics, etc.).;PT;D10;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/PT/Rec29;The Member State should establish direct measures to cover activities that are known to produce high levels of continuous and impulsive noise, as soon as possible (e.g. shipping for continuous noise).;PT;D11;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/PT/Rec30;The Member State should consider establishing measures that target other energy inputs if possible (e.g., heat, light).;PT;D11;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/PT/Rec31;The Member State should make more efforts to address data gaps and consolidate research results to move closer to characterising the noise pressure, in line with the recommendation of TG Noise. This will enable to then define more concrete and direct measures to address underwater noise in the second MSFD implementation cycle.;PT;D11;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/PT/Rec32;The Member State should consider establishing additional measures to address by-catch of birds in all subdivisions and pressures on birds beyond by-catch. Measures could target disturbances on nesting sites by predation, effects of NIS, contaminants and litter ingestion, light and noise disturbances, as well as measures covering birds’ food sources. If these are to be addressed via measures reported for other descriptors, the expected effect that measures are to have on birds should be explained.;PT;D1, 4 – Birds;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/PT/Rec33;The Member State should establish measures that extend beyond CFP efforts, and cover additional fish species, which are non-commercial species in open sea areas, and cephalopods, as well as functional fish habitats (including spatial protection measures). ;PT;D1, 4 – Fish and cephalopods;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/PT/Rec34;The Member State should establish measures or plans for cephalopods species.;PT;D1, 4 – Fish and cephalopods;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/PT/Rec35;The Member State should provide better information on existing MPAs and the level of protection they provide for fish (commercial and non-commercial) and cephalopods, in relation to where fish and cephalopods species occur within the Member State's territorial waters, and how they are protected.;PT;D1, 4 – Fish and cephalopods;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/PT/Rec36;The Member State should establish additional measures, including spatial protection measures, to address relevant pressures on mammals beyond by-catch (e.g. impacts on mammal habitats due to shipping (collision), contaminants, underwater noise, entanglement, and ingestion of litter). If these are to be addressed via measures reported for other descriptors, the expected effect that measures are to have on mammals should be explained. ;PT;D1, 4 – Mammals and reptiles;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/PT/Rec37;The Member State should establish measures targeting marine reptiles. ;PT;D1, 4 – Mammals and reptiles;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/PT/Rec38;The Member State should establish measures (including spatial protection measures but not only) to tackle the pressure associated with water column habitats (and plankton communities). If these are to be addressed via measures reported for other descriptors, the expected effect that measures are to have on water column habitats should be explained.;PT;D1, 4 – Water column habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/PT/Rec39;The Member State should establish measures covering fisheries (trawling), marine mining, dredging, port operations, submarine cables, land claim and coastal defence, that will have direct impacts on physical loss and damage.;PT;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/PT/Rec40;The Member State should establish measures covering all aspects of recreational activities (e.g., fishing, vessels mooring, diving).;PT;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/PT/Rec41;The Member State should establish measures that extend beyond spatially protected areas (and MPAs) to ensure a wider spatial coverage for these habitats.;PT;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/PT/Rec42;The Member State should provide timescales and estimates of how spatial restrictions of seabed damaging activities will allow for GES to be achieved.;PT;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/PT/Rec43;If seabed habitats are to be addressed via measures reported for other descriptors (e.g. D2, D5, D10), the expected effect that measures are to have on seabed habitats should be explained.;PT;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/RO/Rec01;In general, the Member State should better address certain pressures and activities. These are specified in the descriptor specific recommendations below. ;RO;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/RO/Rec02;The Member State should consider whether it is feasible to reduce the current levels of certain pressures in the marine environment, given that the majority of direct measures focus on preventing ongoing and future inputs of pressures. It is observed that most measures aim to address ongoing and new inputs of pressures, whilst very few seek to remove or reduce what is already present in the marine environment due to past activities (e.g. marine litter, NIS, contaminants).;RO;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/RO/Rec03;GES and target definitions should be better addressed for contaminants (D8), contaminants in seafood (D9), marine litter (D10), underwater noise (D11), fish (D1, 4), water column habitats (D1, 4) and seabed habitats (D1, 4, 6).;RO;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/RO/Rec04;The Member State should provide target definitions for hydrographical changes (D7) and underwater noise (D11).;RO;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/RO/Rec05;The Member State should strive to determine the timelines for achieving GES for all descriptors.;RO;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/RO/Rec06;The Member State should establish more links with existing EU policies and international agreements (for D11). This would improve the overall coherence and coverage of the PoM. ;RO;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/RO/Rec07;The Member State should define the spatial scope of all measures in detail.;RO;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/RO/Rec08;The Member State should quantify pressures and their expected reduction as a result of the established measures. This could be facilitated by further efforts to address knowledge gaps and define the methodology for such estimations at regional or EU level. Such quantification will also contribute to linking the measures with the achievement of GES.;RO;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/RO/Rec09;The Member State should make better links between the measures reported for pressure descriptors (except D3 – Commercial fish and shellfish) and their effects on the state descriptors (i.e. biodiversity descriptors D1, 4, 6). This would allow a comprehensive view of the impact of measures affecting all descriptors.;RO;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/RO/Rec10;The Member State should report data collection efforts under its MSFD Monitoring Programmes (Article 11) and not under the Programme of Measures (Article 13). However, when knowledge is too scarce to design effective measures, it is useful to indicate actions taken to address these gaps via research actions (measures).;RO;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/RO/Rec11;The Member State should ensure better linkages between its PoM and Monitoring Programmes, in order to ensure that the effects of the measures, and hence their efficiency and effectiveness in meeting targets and GES, are measured through the Monitoring Programmes.;RO;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/RO/Rec12;The Member State should provide more information about its spatial protection measures (size, number and location of MPAs and the conservation objectives of the MPAs).;RO;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/RO/Rec13;The Member State should link its PoM to the GFCM, which would help ensure coherence at the regional level.;RO;D3;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/RO/Rec14;The Member State should address atmospheric deposition better, through direct measures (it is noted that Romania has already stated that it plans to introduce such measures for the second MSFD cycle).;RO;D5;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/RO/Rec15;The Member State should consider establishing additional measures to address contaminant inputs to the sea from marine hydrocarbon extraction.;RO;D8/D9;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/RO/Rec16;The Member State should better explain the manner in which the D8 measures contribute to D9 GES and targets.;RO;D8/D9;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/RO/Rec17;"The targets.
-	The Member State should address atmospheric deposition better, through direct measures (it is noted that Romania has already stated that it plans to introduce such measures for the second MSFD cycle).";RO;D8/D9;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/RO/Rec18;The Member State should consider establishing additional measures under D10 focusing on riverine sources of litter, especially the Danube River, which has an important influence on the ecological status of the Black Sea marine ecosystem, as well as urban activities (waste management or waste water treatment plan).;RO;D10;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/RO/Rec19;The Member State should make efforts to identify pollution hot spots (e.g. from plastic pellets, lost fishing gear, etc.).;RO;D10;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/RO/Rec20;The Member State should justify the exception for not achieving GES by 2020 in the case of marine litter (D10), more robustly and scientifically.;RO;D10;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/RO/Rec21;The Member State should address data gaps (especially for continuous noise since Romania has established a register for impulsive noise) and consolidate research results to move closer to characterising the noise pressure, in line with the recommendation of TG Noise. This will enable defining more specific and direct measures to address underwater noise in the second MSFD implementation cycle.;RO;D11;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/RO/Rec22;The Member State should consider establishing measures that target other energy inputs if possible and relevant (e.g., heat, light).;RO;D11;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/RO/Rec23;The Member State should consider establishing additional measures to address the disturbances on nesting sites by predation, as well as pollution, NIS and littering beyond protected areas. If these latter pressures are to be addressed via measures reported for other descriptors, the expected effect that measures are to have on birds should be explained.;RO;D1, 4 – Birds;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/RO/Rec24;The Member State should consider establishing additional measures focusing on the Gobiidae family (as these fish species are mentioned in its GES and target definitions).;RO;D1, 4 – Fish and cephalopods;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/RO/Rec25;The Member State should consider establishing additional measures to address NIS, contaminants or marine litter beyond protected areas. If these pressures are to be addressed via measures reported for other descriptors, the expected effect that measures are to have on fish should be explained.;RO;D1, 4 – Fish and cephalopods;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/RO/Rec26;The Member State should provide better information on existing MPAs and the level of protection they provide for fish (commercial and non-commercial), in relation to where fish species occur within Member States' waters, and how they are protected.;RO;D1, 4 – Fish and cephalopods;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/RO/Rec27;The Member State should consider establishing additional measures to address relevant pressures on mammals beyond protected areas (e.g. contaminants, marine litter, underwater noise). If these pressures are to be addressed via measures reported for other descriptors, the expected effect that measures are to have on mammals should be explained. ;RO;D1, 4 – Mammals;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/RO/Rec28;The Member State should consider establishing dedicated measures on water column habitats and to tackle some pressures associated with these habitats beyond protected areas, such as NIS (D2), eutrophication (D5), contaminants (D8) and marine litter (D10). If these pressures are to be addressed via measures reported for other descriptors, the expected effect that measures are to have on water column habitats should be explained.;RO;D1, 4 – Water column habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/RO/Rec29;The Member State should clearly state whether plankton populations are covered in its measures.;RO;D1, 4 – Water column habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/RO/Rec30;The Member State should consider establishing measures beyond protected areas to cover port operations, tourism and shipping (as reported in Article 8).;RO;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/RO/Rec31;The Member State should provide more details on spatial protection measures (and MPAs) such as their area of coverage or temporal ranges of restrictions. The Member State should provide timescales and estimates of how spatial restrictions of seabed damaging activities will allow for GES to be achieved.;RO;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/RO/Rec32;If seabed habitats are to be addressed via measures reported for other descriptors (e.g. D2, D5, D10), the expected effect that measures are to have on seabed habitats should be explained.;RO;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SE/Rec01;In general, the Member State should better address certain pressures and activities. These are specified in the descriptor specific recommendations below. ;SE;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SE/Rec02;GES and targets definitions should be better addressed for birds (D1, 4) and seabed habitats (D1,4,6), NIS (D2), commercial fish and shellfish (D3) and underwater noise and energy (D11).;SE;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SE/Rec03;The Member State should develop more research efforts to fill knowledge gaps and provide an assessment on when GES will be achieved (especially for D1, 4, 6, D2, D3, D10, D11).;SE;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SE/Rec04;The Member State should define GES and targets definitions for water column habitats (D1, 4).;SE;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SE/Rec05;The Member State should establish more links with existing EU policies and international instruments for hydrographical changes (D7), contaminants (D8), marine litter (D10) and underwater noise (D11).;SE;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SE/Rec06;The Member State should report an implementation timeline for all measures.;SE;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SE/Rec07;The Member State should provide more information about its spatial protection measures (representation of species and habitats within the MPAs, the size, number and location of MPAs, the conservation objectives of the MPAs and the policies and measures that will be in place within these areas).;SE;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SE/Rec08;The Member State should quantify the pressures present in its waters and their expected level of reduction as a result of the established measures. This could be facilitated by further efforts to address knowledge gaps and define the methodology for such estimations at regional or EU level. Such quantification will also contribute to linking the measures with the achievement of GES.;SE;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SE/Rec09;The Member State should provide more details on actions put in place by existing measures and regional agreements. This will allow for a better understanding of how the PoM will support progress towards targets and GES for all descriptors.;SE;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SE/Rec10;The Member State should ensure coherence of its determinations of GES, environmental targets and the PoM. This would allow to use environmental targets systematically as milestones towards achieving GES through the measures, and monitor this progress through the MSFD monitoring programmes. This is applicable mainly to birds, mammals, fish, water column habitats and seabed habitats (D1, 4, 6).;SE;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SE/Rec11;The Member State should ensure better linkages between its PoM and Monitoring Programmes, in order to ensure that the effects of the measures, and hence their efficiency and effectiveness in meeting targets and GES, are measured through the Monitoring Programmes.;SE;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SE/Rec12;The Member State should address the introduction of NIS from shipping by covering haul-fouling.;SE;D2;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SE/Rec13;The Member State should clarify whether recreational vessels are covered by the measures.;SE;D2;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SE/Rec14;The Member State should clarify whether the PoM addresses age and size structure of commercial species.;SE;D3;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SE/Rec15;The Member State should clarify how atmospheric deposition of nutrients will be addressed (considering its agreement with the IMO for the designation of the Baltic and North Sea as NECA areas).;SE;D5;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SE/Rec16;The Member State should address cumulative impacts on habitats by multiple stressors.;SE;D7;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SE/Rec17;The Member State should utilise synergies with MSP for addressing cumulative impacts.;SE;D7;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SE/Rec18;The Member State should better address pressures from activities not subject to local/project scale EIAs (e.g. fishing, maritime transport). In some cases (e.g. hydrological changes where local dimension is important) this gap hampers the assessment of cumulative effects.;SE;D7;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SE/Rec19;The Member State should clarify whether the PoM addresses agriculture. If not, the Member State should establish measures to address contaminants from agriculture.;SE;D8/D9;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SE/Rec20;The Member State should establish measures to address marine litter from tourism/recreation and that have a direct impact on the pressure.;SE;D10;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SE/Rec21;The Member State should establish research efforts to address data gaps, increase knowledge and pave the way for direct action to address degradation products as well as counter effects on marine species as specified in its GES and targets;SE;D10;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SE/Rec22;The Member State should make efforts to prevent, identify and tackle pollution hot spots (e.g. from plastic pellets, lost fishing gear, single-use plastics, etc.).;SE;D10;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SE/Rec23;The Member State should establish synergies with relevant existing legal frameworks, such as the EIA procedures.;SE;D11;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SE/Rec24;The Member State should consider establishing measures that target other energy inputs if possible (e.g. heat, light).;SE;D11;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SE/Rec25;The Member State should specify how pressures on birds beyond by-catch are addressed (or will be addressed), namely the effects of NIS.;SE;D1, 4 – Birds;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SE/Rec26;The Member State should specify how pressures on mammals beyond by-catch are addressed (or will be addressed), namely the effects of contaminants and underwater noise.;SE;D1, 4 – Mammals ;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SE/Rec27;The Member State should establish measures targeting plankton, key feature for water column habitats.;SE;D1, 4 – Water column habitats ;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SE/Rec28;"The Member State should directly address shipping, tourism/recreational activities, dredging, marine-based renewable energy, port operations, land claim and solid waste disposal; since they have been identified as relevant pressures for seabed habitats.";SE;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SE/Rec29;The Member State should provide timescales and estimates of how spatial restrictions of seabed damaging activities will allow for GES to be achieved.;SE;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SE/Rec30;The Member State should more clearly indicate which measures reported under other descriptors address pressures for seabed habitats, and further elaborate on how GES and targets for seabed habitats are expected to be achieved.;SE;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SI/Rec01;In general, the Member State should better address certain pressures and activities. These are specified in the descriptor specific recommendations below. ;SI;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SI/Rec02;The Member State should consider whether it is feasible to reduce the current levels of certain pressures in the marine environment, given that the majority of direct measures focuses on preventing ongoing and future inputs of pressures. It is observed that most measures aim to address ongoing and new inputs of pressures, whilst very few seek to remove or reduce what is already present in the marine environment due to past activities (e.g. NIS, contaminants).;SI;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SI/Rec03;GES and targets definitions should be better addressed for birds (D1, 4), fish and cephalopods (D1, 4), water column habitats (D1, 4) and seabed habitats (D1, 4, 6).;SI;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SI/Rec04;If GES is not expected to be achieved by 2020 (e.g. for D3 and D8), then the Member State should estimate the alternative dates by when GES will be achieved;SI;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SI/Rec05;The Member State should define the spatial scope of measures in detail in its text-based report. Furthermore, the spatial scope of measures should be expanded to cover marine waters beyond coastal waters, where relevant pressures are present. The Member State should consider establishing additional measures beyond spatial protection efforts to address species and habitats. It is important that pressures are addressed across its broader territory.;SI;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SI/Rec06;The Member State should quantify pressures and their expected reduction as a result of the established measures. This could be facilitated by further efforts to address knowledge gaps and define the methodology for such estimations at regional or EU level. Such quantification will also contribute to linking the measures with the achievement of GES.;SI;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SI/Rec07;The Member State should improve its PoM to address pressures on marine species and habitats. Measures should extend beyond MPAs and other spatially protected areas, to ensure a wider geographical coverage of pressures.;SI;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SI/Rec08;The Member State should provide more information in its text-based report about its measures and its spatial protection measures (representation of species and habitats within the MPAs, the size, number and location of MPAs and the conservation objectives of the MPAs) and establish additional ones that have direct effects on the pressures.;SI;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SI/Rec09;The Member State should ensure better linkages between its PoM and Monitoring Programmes, in order to ensure that the effects of the measures, and hence their efficiency and effectiveness in meeting targets and GES, are measured through the Monitoring Programmes.;SI;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SI/Rec10;The Member State should report data collection efforts under the MSFD Monitoring Programmes (Article 11) and not under the Programme of Measures (Article 13). However, when knowledge is too scarce to design effective measures, it is useful to indicate actions taken to address these gaps via research measures.;SI;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SI/Rec11;The Member State should address the introduction of NIS in its marine waters from shipping better, by including measures targeting bio-fouling and not just ballast water management.;SI;D2;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SI/Rec12;The Member State should strive to determine the timelines for achieving GES for NIS (D2).;SI;D2;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SI/Rec13;The Member State should establish measures to address nutrient inputs from aquaculture (even though it only has local impacts) and tourism/recreation.;SI;D5;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SI/Rec14;The Member State should clearly address atmospheric deposition of nutrients (NOx) from sea-based and land-based sources.;SI;D5;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SI/Rec15;The Member State should apply SEA procedures, in addition to EIA procedures, more consistently to ensure that hydrographical changes are tackled at a strategic level, rather than at the project level.;SI;D7;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SI/Rec16;The Member State should better address pressures from activities not subject to local/project scale EIAs (e.g. fishing, maritime transport). In some cases (e.g. hydrological changes where local dimension is important) this gap hampers the assessment of cumulative effects.;SI;D7;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SI/Rec17;The Member State should clearly address atmospheric deposition of contaminants.;SI;D8/D9;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SI/Rec18;The Member State should strive to determine the timelines for achieving GES for marine litter (D10).;SI;D10;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
